eBird species code 2019,English name,scientific name,range,eBird species group
aakspa1,Abd al Kuri Sparrow,Passer hemileucus,Socotra Islands (Abd Al Kuri),Old World Sparrows
abbbab1,Abbott's Babbler,Turdinus abbotti,,Ground Babblers and Allies
abbboo2,Abbott's Booby,Papasula abbotti,Christmas I. (e Indian Ocean),"Frigatebirds, Boobies, and Gannets"
abbsta2,Abbott's Starling,Poeoptera femoralis,Mt. Kenya south to Mt. Meru and Mt. Kilimanjaro,Starlings and Mynas
abbwar1,Aberrant Bush Warbler,Horornis flavolivaceus,,Bush Warblers and Allies
abbwar2,Aberrant Bush Warbler (Aberrant),Horornis flavolivaceus [flavolivaceus Group],,Bush Warblers and Allies
abbwar3,Aberrant Bush Warbler (Perplexing),Horornis flavolivaceus intricatus/oblitus,,Bush Warblers and Allies
abcwin1,Abyssinian Crimsonwing,Cryptospiza salvadorii,,Estrildids
abdsto1,Abdim's Stork,Ciconia abdimii,Sub-Saharan Africa and sw Arabia,Storks
abecis1,Aberdare Cisticola,Cisticola aberdare,W-central Kenya (Aberdare Mountains),Cisticolas and Allies
abethr1,African Bare-eyed Thrush,Turdus tephronotus,Arid lowlands of Ethiopia and Somalia to Kenya and ne Tanzania,Thrushes
abetow,Abert's Towhee,Melozone aberti,,New World Sparrows
abgthr1,Abyssinian Ground-Thrush,Geokichla piaggiae,,Thrushes
abhori1,African Black-headed Oriole,Oriolus larvatus,,Old World Orioles
absbil1,Abyssinian Scimitarbill,Rhinopomastus minor,,Woodhoopoes and Scimitarbills
absfin1,Ash-breasted Sierra-Finch,Geospizopsis plebejus,,Tanagers and Allies
abttyr1,Ash-breasted Tit-Tyrant,Anairetes alpinus,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
abycat1,Abyssinian Catbird,Parophasma galinieri,Highland juniper and Hagenia forests of Ethiopia,Sylviid Warblers
abygrt1,Abyssinian Ground-Thrush (Abyssinian),Geokichla piaggiae [piaggiae Group],,Thrushes
abylon1,Abyssinian Longclaw,Macronyx flavicollis,High grasslands of Ethiopia,Wagtails and Pipits
abynig1,Abyssinian Nightjar,Caprimulgus poliocephalus,"SW Saudi Arabia to Ethiopia, ne Uganda and n Tanzania",Nightjars
abyrol2,Abyssinian Roller,Coracias abyssinicus,"Senegambia to Ethiopia, Somalia and Kenya; central Arabia","Bee-eaters, Rollers, and Allies"
abysis1,Ethiopian Siskin,Serinus nigriceps,Alpine moorlands of n and central Ethiopia,"Finches, Euphonias, and Allies"
abyslf1,Abyssinian Slaty-Flycatcher,Melaenornis chocolatinus,,Old World Flycatchers
abythr1,Abyssinian Thrush,Turdus abyssinicus,,Thrushes
abythr2,Abyssinian Thrush (Ngorongoro),Turdus abyssinicus oldeani,Mountains of n-central Tanzania,Thrushes
abythr3,Abyssinian Thrush (Abyssinian),Turdus abyssinicus [abyssinicus Group],,Thrushes
abywhe1,Abyssinian White-eye (Socotra),Zosterops abyssinicus socotranus,N Somalia and Socotra,"White-eyes, Yuhinas, and Allies"
abywoo1,Abyssinian Woodpecker,Chloropicus abyssinicus,Savanna and juniper highlands of Ethiopia and Eritrea,Woodpeckers
acafly,Acadian Flycatcher,Empidonax virescens,Breeds e US; winters Nicaragua to Ecuador and Venezuela,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
accent1,accentor sp.,Prunella sp.,,Accentors
accipi,Accipiter sp.,Accipiter sp.,,"Vultures, Hawks, and Allies"
acowoo,Acorn Woodpecker,Melanerpes formicivorus,,Woodpeckers
acowoo1,Acorn Woodpecker (Acorn),Melanerpes formicivorus [formicivorus Group],,Woodpeckers
acowoo2,Acorn Woodpecker (Narrow-fronted),Melanerpes formicivorus angustifrons,Cape region of s Baja California,Woodpeckers
acrant1,Acre Antshrike,Thamnophilus divisorius,W Amazonian Brazil in Serra do Divisor National Park,Antbirds
acrido1,Acridotheres sp.,Acridotheres sp.,,Starlings and Mynas
acroce1,Acrocephalus sp.,Acrocephalus sp.,,Reed Warblers and Allies
acrtot1,Acre Tody-Tyrant,Hemitriccus cohnhafti,southwestern Amazonia in Brazil (eastern Acre) and adjacent southeastern Peru (Madre de Dios); presumably also occurs in adjacent northern Bolivia (Pando),"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
adepen1,Adelie Penguin,Pygoscelis adeliae,Circumpolar Antarctic seas to edge of ice pack,Penguins
aderos1,Crimson Rosella (Adelaide),Platycercus elegans adelaidae/subadelaidae,,"Parrots, Parakeets, and Allies"
adewar1,Adelaide's Warbler,Setophaga adelaidae,Puerto Rico and Vieques I.,Wood-Warblers
adtdov1,Adamawa Turtle-Dove,Streptopelia hypopyrrha,"Highlands of e Nigeria, n Cameroon and extreme sw Chad",Pigeons and Doves
aerodr1,dark swiftlet sp.,Aerodramus sp.,,Swifts
aethop1,Aethopyga sp.,Aethopyga sp.,,Sunbirds and Spiderhunters
afbduc1,African Black Duck,Anas sparsa,,Waterfowl
afbfly1,African Blue Flycatcher,Elminia longicauda,,Fairy Flycatchers
afbowl1,African Barred Owlet,Glaucidium capense,,Owls
afbowl2,African Barred Owlet (Spot-fronted),Glaucidium capense scheffleri,"Extreme s coastal Somalia, e Kenya and ne Tanzania",Owls
afbtit2,African Blue Tit,Cyanistes teneriffae,,"Tits, Chickadees, and Titmice"
afbwar1,Little Rush-Warbler,Bradypterus baboecala,,Grassbirds and Allies
afcdov1,African Collared-Dove,Streptopelia roseogrisea,,Pigeons and Doves
afcfly1,African Crested-Flycatcher,Trochocercus cyanomelas,,Monarch Flycatchers
afdfly1,African Dusky Flycatcher,Muscicapa adusta,,Old World Flycatchers
afdwar1,African Desert Warbler,Sylvia deserti,Deserts of nw Africa to e Libya,Sylviid Warblers
afecuc1,African Emerald Cuckoo,Chrysococcyx cupreus,,Cuckoos
afecuc2,African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,Africa south of the Sahara,Cuckoos
afecuc3,African Emerald Cuckoo (Bioko),Chrysococcyx cupreus intermedius,Bioko (Gulf of Guinea),Cuckoos
afecuc4,African Emerald Cuckoo (Insular),Chrysococcyx cupreus insularum,"São Tomé, Príncipe, and Annobón (Gulf of Guinea)",Cuckoos
afepig1,Afep Pigeon,Columba unicincta,Equatorial forests of w and central Africa,Pigeons and Doves
affeag1,African Fish-Eagle,Haliaeetus vocifer,Africa south of the Sahara,"Vultures, Hawks, and Allies"
afffin,African Firefinch,Lagonosticta rubricata,,Estrildids
afffly1,African Forest-Flycatcher,Fraseria ocreata,,Old World Flycatchers
afgfly1,African Gray Flycatcher,Bradornis microrhynchus,,Old World Flycatchers
afghor1,African Gray Hornbill,Lophoceros nasutus,,Hornbills
afgori2,African Golden Oriole,Oriolus auratus,,Old World Orioles
afgowl1,African Grass-Owl,Tyto capensis,Wet grasslands of Africa south of the Sahara,Owls
afgsno1,Afghan Snowfinch,Montifringilla theresae,Hindu Kush Mountains (Afghanistan),Old World Sparrows
afgwea1,African Golden-Weaver,Ploceus subaureus,,Weavers and Allies
afgwoo1,African Gray Woodpecker (Gray),Chloropicus goertae [goertae Group],,Woodpeckers
afgwoo2,African Gray Woodpecker (Sahel),Chloropicus goertae koenigi,"Sahel of Sahara (e Mali to Niger, Chad and w Sudan)",Woodpeckers
afhbab1,African Hill Babbler,Sylvia abyssinica,,Sylviid Warblers
afhbab2,African Hill Babbler (African),Sylvia abyssinica abyssinica/stictigula,,Sylviid Warblers
afhbab3,Rwenzori Hill Babbler,Sylvia atriceps,"Nigeria to Cameroon, e Democratic Republic of the Congo, Rwanda and w Uganda",Sylviid Warblers
afhbab4,African Hill Babbler (Mt. Cameroon),Sylvia abyssinica monachus,Mt. Cameroon,Sylviid Warblers
afhbab5,African Hill Babbler (Claude's),Sylvia abyssinica claudei,Bioko (Gulf of Guinea),Sylviid Warblers
afhbab6,African Hill Babbler (Stierling's),Sylvia abyssinica stierlingi,E and s Tanzania,Sylviid Warblers
afhhaw1,African Harrier-Hawk,Polyboroides typus,,"Vultures, Hawks, and Allies"
afmdov1,Mourning Collared-Dove,Streptopelia decipiens,,Pigeons and Doves
afmhar1,African Marsh-Harrier,Circus ranivorus,Marshes and grasslands of e and s Africa,"Vultures, Hawks, and Allies"
afmwea,Southern Masked-Weaver,Ploceus velatus,,Weavers and Allies
afpfly1,African Paradise-Flycatcher,Terpsiphone viridis,,Monarch Flycatchers
afphor1,African Pied Hornbill,Lophoceros fasciatus,,Hornbills
afphor2,African Pied Hornbill (Western),Lophoceros fasciatus semifasciatus,Senegambia to just east of Niger River,Hornbills
afphor3,African Pied Hornbill (Congo),Lophoceros fasciatus fasciatus,"Nigeria (east of Niger River) to Angola, Democratic Republic of the Congo, and Uganda",Hornbills
afpkin1,African Pygmy-Kingfisher,Ispidina picta,,Kingfishers
afpsta1,African Pied Starling,Lamprotornis bicolor,Extreme se Namibia to s Mozambique and South Africa,Starlings and Mynas
afpswi1,African Palm-Swift,Cypsiurus parvus,,Swifts
afptit1,African Penduline-Tit,Anthoscopus caroli,,Penduline-Tits and Verdin
afpwag1,African Pied Wagtail,Motacilla aguimp,,Wagtails and Pipits
afrbao1,African Barred Owlet (Bar-fronted),Glaucidium capense capense/ngamiense,,Owls
afrbar1,african barbet sp.,Lybiidae sp.,,Barbets and Toucans
afrbro1,African Broadbill,Smithornis capensis,,African and Green Broadbills
afrcit1,African Citril,Crithagra citrinelloides,,"Finches, Euphonias, and Allies"
afrcod1,African Collared-Dove (Domestic type or Ringed Turtle-Dove),Streptopelia roseogrisea (Domestic type),,Pigeons and Doves
afrcra1,African Crake,Crex egregia,Africa south of the Sahara,"Rails, Gallinules, and Allies"
afrcrf1,African Crested-Flycatcher (Eastern),Trochocercus cyanomelas [bivittatus Group],,Monarch Flycatchers
afrcrf2,African Crested-Flycatcher (Southern),Trochocercus cyanomelas cyanomelas/segregus,,Monarch Flycatchers
afrcuc1,African Cuckoo,Cuculus gularis,Senegambia to Somalia and South Africa,Cuckoos
afrcuc2,african cuckooshrike sp.,Campephaga sp.,,Cuckooshrikes
afrcuh1,African Cuckoo-Hawk,Aviceda cuculoides,,"Vultures, Hawks, and Allies"
afrfin1,African Finfoot,Podica senegalensis,,Finfoots
afrfof1,African Forest-Flycatcher (Western),Fraseria ocreata prosphora/kelsalli,,Old World Flycatchers
afrfof2,African Forest-Flycatcher (Eastern),Fraseria ocreata ocreata,"Nigeria and Cameroon to Angola, Democratic Republic of the Congo and w Uganda; Bioko",Old World Flycatchers
afrgos1,African Goshawk,Accipiter tachiro,,"Vultures, Hawks, and Allies"
afrgos2,African Goshawk (Ethiopian),Accipiter tachiro unduliventer/croizati,,"Vultures, Hawks, and Allies"
afrgos3,African Goshawk (Eastern),Accipiter tachiro sparsimfasciatus,"Somalia to northern Democratic Republic of the Congo, Angola, Zambia and Mozambique","Vultures, Hawks, and Allies"
afrgos4,African Goshawk (Pemba),Accipiter tachiro pembaensis,Pemba I. (off Tanzania),"Vultures, Hawks, and Allies"
afrgos5,African Goshawk (Southern),Accipiter tachiro tachiro,S Angola to Mozambique and South Africa,"Vultures, Hawks, and Allies"
afrgrp1,African Green-Pigeon,Treron calvus,,Pigeons and Doves
afrgrp2,African Green-Pigeon (African),Treron calvus [calvus Group],,Pigeons and Doves
afrgrp3,African Green-Pigeon (Gray-breasted),Treron calvus delalandii/granti,,Pigeons and Doves
afrhae1,African Hawk-Eagle,Aquila spilogaster,Woodlands and savanna of Africa south of the Sahara,"Vultures, Hawks, and Allies"
afrhob1,African Hobby,Falco cuvierii,Savanna of Africa south of the Sahara,Falcons and Caracaras
afrjac1,African Jacana,Actophilornis africanus,"Lakes, ponds and marshes of Africa south of the Sahara",Shorebirds
afrmar2,African River Martin,Pseudochelidon eurystomina,Large rivers of Democratic Republic of the Congo; >coastal Gabon,Martins and Swallows
afrope1,African Openbill,Anastomus lamelligerus,,Storks
afroys1,African Oystercatcher,Haematopus moquini,Coasts of s Africa (n Namibia to e Cape Province),Shorebirds
afrpas1,African Palm-Swift (African),Cypsiurus parvus [parvus Group],,Swifts
afrpas2,African Palm-Swift (Comoro),Cypsiurus parvus griveaudi,Comoro Islands,Swifts
afrpas3,African Palm-Swift (Madagascar),Cypsiurus parvus gracilis,Madagascar,Swifts
afrpet1,African Penduline-Tit (Buff-bellied),Anthoscopus caroli sylviella/sharpei,,Penduline-Tits and Verdin
afrpet2,African Penduline-Tit (White-bellied),Anthoscopus caroli [ansorgei Group],,Penduline-Tits and Verdin
afrpet3,African Penduline-Tit (Yellow-bellied),Anthoscopus caroli roccatii,"Uganda, ne Democratic Republic of the Congo, Rwanda, Burundi, ne Tanzania and w Kenya",Penduline-Tits and Verdin
afrpet4,African Penduline-Tit (Slaty-backed),Anthoscopus caroli rankinei,northeastern Zimbabwe,Penduline-Tits and Verdin
afrpet5,African Penduline-Tit (Buff-vented),Anthoscopus caroli [caroli Group],,Penduline-Tits and Verdin
afrpic1,African Piculet,Verreauxia africana,"S Cameroon to e Democratic Republic of the Congo, sw Uganda and nw Angola",Woodpeckers
afrpip1,African Pipit,Anthus cinnamomeus,,Wagtails and Pipits
afrpip2,African Pipit (Cameroon),Anthus cinnamomeus camaroonensis,Cameroon (Mt. Cameroon and Mt. Manenguba),Wagtails and Pipits
afrpip3,African Pipit (Yemen),Anthus cinnamomeus eximius,Yemen,Wagtails and Pipits
afrpip4,African Pipit (African),Anthus cinnamomeus [cinnamomeus Group],,Wagtails and Pipits
afrpip5,African Pipit (Etosha),Anthus cinnamomeus grotei,Salt pans of n Namibia and n Botswana,Wagtails and Pipits
afrpit1,African Pitta,Pitta angolensis,,Old World Pittas
afrpyg1,African Pygmy-Goose,Nettapus auritus,Africa south of the Sahara (except sw Africa) and Madagascar,Waterfowl
afrqua2,Quailfinch (Spectacled),Ortygospiza atricollis [fuscocrissa Group],,Estrildids
afrrai1,African Rail,Rallus caerulescens,Swamps and reedbeds of e and s Africa,"Rails, Gallinules, and Allies"
afrrew2,Eurasian Reed Warbler (Mangrove),Acrocephalus scirpaceus avicenniae,"Mangroves of coastal Sudan, Eritrea, Somalia and w Arabia",Reed Warblers and Allies
afrsco1,African Scops-Owl (African),Otus senegalensis senegalensis,Widespread sub-Saharan Africa,Owls
afrsco2,Socotra Scops-Owl,Otus socotranus,Socotra,Owls
afrsco3,African Scops-Owl (Annobon),Otus senegalensis feae,Pagulu (Gulf of Guinea),Owls
afrsco4,African Scops-Owl (Snowy),Otus senegalensis nivosus,SE Kenya (lower Tana River to Lali Hills),Owls
afrscr1,Rufous-tailed Scrub-Robin (African),Cercotrichas galactotes minor/hamertoni,,Old World Flycatchers
afrsee1,African seedeater sp.,Crithagra sp.,,"Finches, Euphonias, and Allies"
afrshf1,African Shrike-flycatcher,Megabyas flammulatus,,"Vangas, Helmetshrikes, and Allies"
afrsil1,African Silverbill,Euodice cantans,,Estrildids
afrski1,African Skimmer,Rynchops flavirostris,"Major rivers, lakes and coasts of Africa south of the Sahara","Gulls, Terns, and Skimmers"
afrsni1,African Snipe,Gallinago nigripennis,,Shorebirds
afrspo1,African Spoonbill,Platalea alba,Africa south of the Sahara and Madagascar,"Herons, Ibis, and Allies"
afrsto1,African Stonechat,Saxicola torquatus,,Old World Flycatchers
afrswi1,African Swift,Apus barbatus,,Swifts
afrswi2,African Swift (Bioko),Apus barbatus sladeniae,"Locally in se Nigeria, w Cameroon, Bioko I. and w Angola",Swifts
afrswi3,African Swift (African),Apus barbatus [barbatus Group],,Swifts
afrtai2,African Tailorbird,Artisornis metopias,,Cisticolas and Allies
afrthr1,African Thrush,Turdus pelios,,Thrushes
afrthr2,African Thrush (African),Turdus pelios [pelios Group],,Thrushes
afrthr3,African Thrush (Black-lored),Turdus pelios nigrilorum/poensis,,Thrushes
afrthr4,African Thrush (Orange-bellied),Turdus pelios stormsi/graueri,,Thrushes
afrtro1,african trogon sp.,Apaloderma sp.,,Trogons and Quetzals
afrwar1,African Reed Warbler,Acrocephalus baeticatus,,Reed Warblers and Allies
afsowl1,African Scops-Owl,Otus senegalensis,,Owls
afswar1,Barratt's Warbler,Bradypterus barratti,,Grassbirds and Allies
afwowl1,African Wood-Owl,Strix woodfordii,,Owls
afywar1,African Yellow-Warbler,Iduna natalensis,,Reed Warblers and Allies
afywhe1,African Yellow White-eye (Forest),Zosterops senegalensis stenocricotus,SE Nigeria to Cameroon and n Gabon; Bioko (Gulf of Guinea),"White-eyes, Yuhinas, and Allies"
afywhe2,African Yellow White-eye (African Yellow),Zosterops senegalensis [senegalensis Group],,"White-eyes, Yuhinas, and Allies"
afywhe3,African Yellow White-eye (Green),Zosterops senegalensis [stuhlmanni Group],,"White-eyes, Yuhinas, and Allies"
afywhe4,African Yellow White-eye (Southern),Zosterops senegalensis anderssoni/stierlingi,,"White-eyes, Yuhinas, and Allies"
agaher1,Agami Heron,Agamia agami,Tropical s Mexico to n Bolivia and w Amazonian Brazil,"Herons, Ibis, and Allies"
agitit1,Agile Tit-Tyrant,Uromyias agilis,Andes of Colombia to extreme w Venezuela and Ecuador,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
agular1,Agulhas Lark,Certhilauda brevirostris,"southwestern South Africa (Algulhas Plain and Breede Valley, south central Western Cape)",Larks
agwtea1,Green-winged Teal (American),Anas crecca carolinensis,Breeds North America; winters to Mexico and West Indies,Waterfowl
ahafra2,Ahanta Francolin,Pternistis ahantensis,Discontinuous in lowlands of Senegambia to sw Nigeria,"Grouse, Quail, and Allies"
ajpant1,Aripuana Antwren,Herpsilochmus stotzi,"Amazonian Brazil (south of the Amazon, on the east bank of the Madeira River)",Antbirds
akekee,Akekee,Loxops caeruleirostris,Kauai (Kokee and Alakai Swamp environs),"Finches, Euphonias, and Allies"
akeowl1,Akun Eagle-Owl,Bubo leucostictus,"Sierra Leone and Liberia to Cameroon, Democratic Republic of the Congo, and northwestern Angola",Owls
akepa1,Hawaii Akepa,Loxops coccineus,Montane ohia and koa forests of Hawaii,"Finches, Euphonias, and Allies"
akepa3,Maui Akepa,Loxops ochraceus,Montane ohia and koa forests of Maui. Probably extinct,"Finches, Euphonias, and Allies"
akiapo,Akiapolaau,Hemignathus wilsoni,Montane koa forests of Hawaii,"Finches, Euphonias, and Allies"
akikik,Akikiki,Oreomystis bairdi,Montane ohia forests of Kauai,"Finches, Euphonias, and Allies"
alaant1,Alagoas Antwren,Myrmotherula snowi,NE Brazil (Alagoas near Murici on R. Pedra Branca),Antbirds
alacur1,Alagoas Curassow,Mitu mitu,Coastal e Brazil (Alagoas); extinct in wild,"Chachalacas, Guans, and Curassows"
alatyr1,Alagoas Tyrannulet,Phylloscartes ceciliae,Highlands of ne Brazil (Alagoas),"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
albatr1,albatross sp.,Diomedeidae sp.,,Albatrosses
alblyr1,Albert's Lyrebird,Menura alberti,Rainforests of e Australia (se Queensland and extreme ne NSW,Lyrebirds
albowl1,Albertine Owlet,Glaucidium albertinum,poorly known; reported from eastern Democratic Republic of the Congo (Itombwe Mountains and forests west of Lake Edward) and northern Rwanda,Owls
albwar1,Aldabra Brush-Warbler,Nesillas aldabrana,Formerly Aldabra (Comoro Islands). Possibly extinct,Reed Warblers and Allies
alcgoo1,Cackling Goose (Aleutian),Branta hutchinsii leucopareia,"Locally in Aleutians and Semdi Is., Alaska (formerly bred from Kuril Is. and Commander Is. east to near Kodiak I.); winters Oregon, California",Waterfowl
alcid,alcid sp.,Alcidae sp.,,Alcids
alcipp1,Alcippe sp.,Alcippe sp.,,Laughingthrushes and Allies
alddro1,Aldabra Drongo,Dicrurus aldabranus,Aldabra (w Indian Ocean),Drongos
aldfly,Alder Flycatcher,Empidonax alnorum,Breeds Alaska to ne US; winters Colombia to Bolivia,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
aldwhe1,Aldabra White-eye,Zosterops aldabrensis,Aldabra and Astove islands (Indian Ocean),"White-eyes, Yuhinas, and Allies"
aleowl1,Abyssinian Owl,Asio abyssinicus,,Owls
alepar1,Princess Parrot,Polytelis alexandrae,Dry eucalyptus forests of interior central and w Australia,"Parrots, Parakeets, and Allies"
alepar2,Alexandrine Parakeet,Psittacula eupatria,,"Parrots, Parakeets, and Allies"
aleswi1,Alexander's Swift,Apus alexandri,Cape Verde Islands,Swifts
aleter1,Aleutian Tern,Onychoprion aleuticus,Alaska and Siberia; winters to Singapore and Indonesia,"Gulls, Terns, and Skimmers"
alfant1,Alta Floresta Antpitta,Hylopezus whittakeri,"Amazonian Brazil (south of the Amazon, between the Madeira and the Xingu)",Gnateaters and Antpittas
alfgle1,Alagoas Foliage-gleaner,Philydor novaesi,Montane forests of ne Brazil (Alagoas),Ovenbirds
algnut1,Algerian Nuthatch,Sitta ledanti,Montane oak-cedar forests of ne Algeria,Nuthatches
allant1,Allpahuayo Antbird,Percnostola arenarum,NE Peru north of R. Marañón (R. Morona to R. Nanay drainage),Antbirds
allgal1,Allen's Gallinule,Porphyrio alleni,"Africa south of the Sahara, Madagascar and Comoro Islands","Rails, Gallinules, and Allies"
allhum,Allen's Hummingbird,Selasphorus sasin,,Hummingbirds
alomyz1,Alor Myzomela (undescribed form),Myzomela [undescribed Alor form],"Alor, Lesser Sundas",Honeyeaters
alpacc1,Alpine Accentor,Prunella collaris,,Accentors
alplew1,Alpine Leaf Warbler,Phylloscopus occisinensis,"breeds e Tibet-Qinghai plateau, China in Sichuan and Gansu; winter range undescribed",Leaf Warblers
alpmun1,Alpine Munia,Lonchura monticola,SW New Guinea (Wharton and Owen Stanley mountains),Estrildids
alppip1,Alpine Pipit,Anthus gutturalis,,Wagtails and Pipits
alprob1,Subalpine Robin,Petroica bivittata,,Australasian Robins
alpswi1,Alpine Swift,Apus melba,,Swifts
alptap1,Tatama Tapaculo,Scytalopus alvarezlopezi,Pacific slope of Colombian Andes (western Antioquia south to southwestern Valle del Cauca),Tapaculos
alpthr1,Alpine Thrush,Zoothera mollissima,"breeds in the Himalayas from northern Pakistan to southeastern Tibet and southcentral China (Sichuan); winters at lower elevations, south to Yunnan (China)",Thrushes
alsred1,Ala Shan Redstart,Phoenicurus alaschanicus,Montane coniferous forests of n China to ne Tibet,Old World Flycatchers
altori,Altamira Oriole,Icterus gularis,,Blackbirds
altsno1,Altai Snowcock,Tetraogallus altaicus,Mountains of sw Siberia and w Mongolia,"Grouse, Quail, and Allies"
altyel1,Altamira Yellowthroat,Geothlypis flavovelata,"Coastal ne Mexico (s Tamaulipas, e San Luis Potosí, n Veracruz)",Wood-Warblers
amaant1,Amazonian Antpitta,Hylopezus berlepschi,,Gnateaters and Antpittas
amaant2,Amazonian Antshrike,Thamnophilus amazonicus,,Antbirds
amabaw1,Amazonian Barred-Woodcreeper,Dendrocolaptes certhia,,Woodcreepers
amabaw2,Amazonian Barred-Woodcreeper (Napo),Dendrocolaptes certhia radiolatus,W Amazonia from se Colombia to ne Peru and nw Brazil,Woodcreepers
amabaw3,Amazonian Barred-Woodcreeper (Amazonian),Dendrocolaptes certhia certhia,Extreme e Colombia to the Guianas and n Brazil,Woodcreepers
amabaw4,Amazonian Barred-Woodcreeper (Jurua),Dendrocolaptes certhia juruanus/polyzonus,,Woodcreepers
amabaw5,Amazonian Barred-Woodcreeper (Plain-colored),Dendrocolaptes certhia concolor,"south central Amazonia, in Brazil between the Madeira and Tapajós rivers, and in northeastern Bolivia (Santa Cruz)",Woodcreepers
amabaw6,Amazonian Barred-Woodcreeper (Ridgway's),Dendrocolaptes certhia ridgwayi,"eastern Amazonian Brazil, between the rios Tapajós and Xingu",Woodcreepers
amabaw7,Amazonian Barred-Woodcreeper (Todd's),Dendrocolaptes certhia medius,"eastern Amazonian Brazil, east of the Tocantins River; also an isolated population in northeastern Brazil (Alagoas, Pernambuco)",Woodcreepers
amahum1,Amazilia Hummingbird,Amazilia amazilia,,Hummingbirds
amahum2,Amazilia Hummingbird (White-throated),Amazilia amazilia [dumerilii Group],,Hummingbirds
amahum4,Amazilia Hummingbird (Green-throated),Amazilia amazilia amazilia,Arid littoral of w Peru,Hummingbirds
amahum5,Amazilia Hummingbird (Blue-throated),Amazilia amazilia caeruleigularis,Foothills of sw Peru (Nazca Valley in Ica),Hummingbirds
amakin1,Amazon Kingfisher,Chloroceryle amazona,"S Mexico to Colombia, Venezuela and e of Andes to Argentina",Kingfishers
amapar1,Amazonian Parrotlet,Nannopsittaca dachilleae,Tropical se Peru and nw Bolivia (probably adjacent w Brazil),"Parrots, Parakeets, and Allies"
amapyo1,Amazonian Pygmy-Owl,Glaucidium hardyi,"SE Venezuela to the Guianas, Amaz. Brazil, se Peru and Bolivia",Owls
amaspi1,Amazonian Spinetail (undescribed form),Synallaxis [undescribed Amazonian form],"locally distributed along the southern fringe of Amazonian Brazil, from Mato Grosso east to Maranhão",Ovenbirds
amasta1,Amazonian Streaked-Antwren,Myrmotherula multostriata,E Colombia to n Bolivia and Brazil south of R. Amazon,Antbirds
amasun2,Amani Sunbird,Hedydipna pallidigaster,Coastal se Kenya (Sokoke Forest) and ne Tanzania (rare),Sunbirds and Spiderhunters
amaswi1,Amazonian Swift,Chaetura viridipennis,Tropical e Peru to e Bolivia and w Amazonian Brazil,Swifts
amatyr1,Amazonian Tyrannulet,Inezia subflava,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
amaumb1,Amazonian Umbrellabird,Cephalopterus ornatus,"S Venezuela to Guyana, n Bolivia and Amazonian Brazil",Cotingas
amawoo1,Amami Woodcock,Scolopax mira,"Amami-O-Shima, Tokuno-Shima, Okinawa, Tokashiki-Shima",Shorebirds
amazil1,Amazilia sp.,Amazilia sp.,,Hummingbirds
amazon,Amazona sp.,Amazona sp.,,"Parrots, Parakeets, and Allies"
ambduc,American Black Duck,Anas rubripes,NE North America; winters to Bahamas and Gulf Coast,Waterfowl
ambtyr1,Amazonian Black-Tyrant,Knipolegus poecilocercus,S Venezuela and w Guyana to e Ecuador and Amazonian Brazil,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
ambwhe1,Ambon White-eye,Zosterops kuehni,S Moluccas (Seram and Ambon),"White-eyes, Yuhinas, and Allies"
ameavo,American Avocet,Recurvirostra americana,S Canada to n Mexico; winters s US to Costa Rica and Cuba,Shorebirds
amebit,American Bittern,Botaurus lentiginosus,Alaska to Mexico; winters to Panama and West Indies,"Herons, Ibis, and Allies"
amebrd1,Amethyst Brown-Dove (Amethyst),Phapitreron amethystinus amethystinus/imeldae,,Pigeons and Doves
amebrd2,Amethyst Brown-Dove (Gray-breasted),Phapitreron amethystinus maculipectus,Montane forests of Negros (e-central Philippines),Pigeons and Doves
amebrd3,Amethyst Brown-Dove (Cebu),Phapitreron amethystinus frontalis,Cebu (e-central Philippines). Probably extinct,Pigeons and Doves
amecoo,American Coot (Red-shielded),Fulica americana (Red-shielded),,"Rails, Gallinules, and Allies"
amecro,American Crow,Corvus brachyrhynchos,,"Jays, Magpies, Crows, and Ravens"
amedip,American Dipper,Cinclus mexicanus,,Dippers
amedip1,American Dipper (Northern),Cinclus mexicanus [mexicanus Group],,Dippers
amedip2,American Dipper (Costa Rican),Cinclus mexicanus ardesiacus,Mts. of Costa Rica and w Panama,Dippers
amedov1,Amethyst Brown-Dove,Phapitreron amethystinus,,Pigeons and Doves
amegfi,American Goldfinch,Spinus tristis,,"Finches, Euphonias, and Allies"
amekes,American Kestrel,Falco sparverius,,Falcons and Caracaras
amekes1,American Kestrel (Northern),Falco sparverius [sparverius Group],,Falcons and Caracaras
amekes2,American Kestrel (South American),Falco sparverius [cinnamominus Group],,Falcons and Caracaras
amekes3,American Kestrel (Eastern Caribbean),Falco sparverius caribaearum,West Indies (Puerto Rico to Grenada),Falcons and Caracaras
amekes4,American Kestrel (Hispaniolan),Falco sparverius dominicensis,Hispaniola and Jamaica,Falcons and Caracaras
